i,"[0.29525503693104915, 0.13828841022468, 0.08198306199002281, 0.3294017556750068, 0.11922348118643412, 0.035848253992807146]"
didnt,"[0.35294117647058826, 0.16544117647058823, 0.0661764705882353, 0.2610294117647059, 0.10661764705882353, 0.04779411764705882]"
feel,"[0.29500134132164896, 0.13046588571939552, 0.08307252079048556, 0.3512474291335062, 0.10837878923365823, 0.031834033801305554]"
humiliated,"[0.98, 0.0, 0.0, 0.02, 0.0, 0.0]"
can,"[0.27639751552795033, 0.13768115942028986, 0.07867494824016563, 0.35610766045548653, 0.12318840579710146, 0.027950310559006212]"
go,"[0.2697201017811705, 0.11959287531806616, 0.06870229007633588, 0.34096692111959287, 0.17048346055979643, 0.030534351145038167]"
from,"[0.31059506531204645, 0.14368650217706821, 0.06821480406386067, 0.32075471698113206, 0.12917271407837447, 0.027576197387518143]"
feeling,"[0.2979264475743349, 0.14104068857589985, 0.07394366197183098, 0.301056338028169, 0.14514866979655713, 0.04088419405320814]"
so,"[0.3268698060941828, 0.13375544123466562, 0.07439651760981401, 0.3153937475267115, 0.11317768104471705, 0.03640680648990898]"
hopeless,"[0.9076923076923077, 0.03076923076923077, 0.0, 0.015384615384615385, 0.046153846153846156, 0.0]"
to,"[0.26025412394115033, 0.12951404369148464, 0.09585376727596968, 0.36023183236736517, 0.12438698172090949, 0.02975925100312082]"
damned,"[0.5, 0.0, 0.25, 0.25, 0.0, 0.0]"
hopeful,"[0.06779661016949153, 0.0, 0.0, 0.9322033898305084, 0.0, 0.0]"
just,"[0.30337886412652776, 0.1581595974119339, 0.06973400431344358, 0.30409777138749106, 0.12365204888569374, 0.04097771387491014]"
being,"[0.32745961820851693, 0.17914831130690165, 0.07782672540381792, 0.27753303964757714, 0.11453744493392073, 0.02349486049926579]"
around,"[0.22857142857142856, 0.16825396825396827, 0.08253968253968254, 0.29523809523809524, 0.17777777777777778, 0.047619047619047616]"
someone,"[0.27888446215139445, 0.19123505976095617, 0.11155378486055777, 0.25896414342629487, 0.12350597609561753, 0.03585657370517929]"
who,"[0.2821869488536155, 0.14285714285714285, 0.12169312169312169, 0.31393298059964725, 0.10229276895943562, 0.037037037037037035]"
cares,"[0.5, 0.125, 0.125, 0.125, 0.125, 0.0]"
and,"[0.28073834602148295, 0.13119199082281782, 0.09406611742621754, 0.3413286056940244, 0.11575763896130983, 0.03691730107414746]"
is,"[0.24267399267399267, 0.12362637362637363, 0.10851648351648352, 0.39285714285714285, 0.09798534798534798, 0.034340659340659344]"
awake,"[0.38095238095238093, 0.09523809523809523, 0.0, 0.3333333333333333, 0.19047619047619047, 0.0]"
im,"[0.2810699588477366, 0.14074074074074075, 0.0794238683127572, 0.32880658436213994, 0.1325102880658436, 0.037448559670781895]"
grabbing,"[0.2, 0.2, 0.2, 0.0, 0.4, 0.0]"
a,"[0.26709677419354844, 0.12758064516129036, 0.0920967741935484, 0.3419354838709678, 0.13000000000000003, 0.04129032258064517]"
minute,"[0.37500000000000006, 0.16666666666666669, 0.08333333333333334, 0.33333333333333337, 0.04166666666666667, 0.0]"
post,"[0.3008849557522124, 0.08849557522123894, 0.09734513274336283, 0.34513274336283184, 0.1415929203539823, 0.02654867256637168]"
greedy,"[0.015384615384615385, 0.9692307692307692, 0.0, 0.015384615384615385, 0.0, 0.0]"
wrong,"[0.36619718309859156, 0.2535211267605634, 0.014084507042253521, 0.16901408450704225, 0.18309859154929578, 0.014084507042253521]"
am,"[0.27761767531219983, 0.12680115273775217, 0.08117195004803074, 0.35014409221902015, 0.13208453410182516, 0.03218059558117195]"
ever,"[0.26244343891402716, 0.10407239819004525, 0.12217194570135746, 0.36199095022624433, 0.11764705882352941, 0.03167420814479638]"
nostalgic,"[0.0, 0.0, 0.9411764705882353, 0.0392156862745098, 0.0196078431372549, 0.0]"
about,"[0.2395543175487465, 0.12590529247910864, 0.10250696378830083, 0.30250696378830083, 0.1860724233983287, 0.043454038997214485]"
the,"[0.25746714456391884, 0.13249701314217446, 0.09318996415770611, 0.3573476702508961, 0.11947431302270012, 0.04002389486260455]"
fireplace,"[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0]"
will,"[0.23672883787661406, 0.08464849354375897, 0.11190817790530846, 0.4146341463414634, 0.12338593974175036, 0.028694404591104734]"
know,"[0.3223915592028136, 0.13481828839390386, 0.09261430246189918, 0.2813599062133646, 0.13716295427901523, 0.031652989449003514]"
that,"[0.25410798122065725, 0.13791079812206572, 0.08998435054773082, 0.37265258215962443, 0.10387323943661972, 0.041471048513302036]"
it,"[0.27694275663575313, 0.14166933162775824, 0.08890310201471059, 0.32874960025583627, 0.12056283978253918, 0.04317236968340262]"
still,"[0.33613445378151263, 0.11764705882352941, 0.0773109243697479, 0.26218487394957984, 0.1411764705882353, 0.06554621848739496]"
on,"[0.2765957446808511, 0.12056737588652482, 0.08961960025789813, 0.3623468729851709, 0.11863313990973566, 0.032237266279819474]"
property,"[0.25, 0.25, 0.25, 0.25, 0.0, 0.0]"
grouchy,"[0.0, 0.9629629629629629, 0.0, 0.037037037037037035, 0.0, 0.0]"
ive,"[0.3696763202725724, 0.10562180579216354, 0.07495741056218058, 0.29982964224872233, 0.11584327086882454, 0.034071550255536626]"
been,"[0.34349355216881594, 0.13716295427901523, 0.07268464243845252, 0.30246189917936694, 0.11371629542790153, 0.03048065650644783]"
little,"[0.26358695652173914, 0.14266304347826086, 0.07472826086956522, 0.25679347826086957, 0.20244565217391305, 0.059782608695652176]"
